shot_id,label_frame,shot_frame,frame_diff,side,true_stroke,true_class_id,predicted_class_id,predicted_confidence,is_rule_based,logits,label_status,source
,6,7,1,far,lift,4,5,0.24939466656601542,False,"[1.2846564580771407, -0.45290241104666007, 0.48791303658648605, 0.5654525876219956, 0.18452921570829808, 2.1405557163119093, 0.9397573713063254, -0.1085003455407029, -0.7226630178314779, -1.9353596171356071, 0.47215095094460646, -1.6180525761174995, 0.3179530235425646, -2.0269589153836574, -1.2381550423639032, 1.126000472468307, -1.5064163869888085, -0.009819348107792614, -1.4900903490184456, -0.17401148281876133, -0.07837604275490201, -0.6996763581367755, 0.36138639204763723, -0.8608603408569129, -0.8448375600963027]",labeled,manual
,47,59,12,far,cross_court,10,1,0.15046115357728856,False,"[0.7794729997488936, 1.8145395769446728, -2.4212462661250007, -0.028126212937048256, 1.2436473375707096, -0.3552088968396409, -1.514988636612986, 0.34994991223746486, -0.028312536798152765, 1.3635374108337532, 1.1246772103669087, -1.2983021479177315, 0.1281470092431719, 1.2290022643496188, -3.316136037542126, 0.2469518642248415, 0.7317112022369604, -0.5993679359068649, -0.4540835407375008, -0.9174016853410392, 0.07550419577811801, 1.328853703108189, -0.33911633140779185, 0.19421116206705263, 0.05732129629560395]",labeled,manual
,72,59,13,far,block,2,1,0.15046115357728856,False,"[0.7794729997488936, 1.8145395769446728, -2.4212462661250007, -0.028126212937048256, 1.2436473375707096, -0.3552088968396409, -1.514988636612986, 0.34994991223746486, -0.028312536798152765, 1.3635374108337532, 1.1246772103669087, -1.2983021479177315, 0.1281470092431719, 1.2290022643496188, -3.316136037542126, 0.2469518642248415, 0.7317112022369604, -0.5993679359068649, -0.4540835407375008, -0.9174016853410392, 0.07550419577811801, 1.328853703108189, -0.33911633140779185, 0.19421116206705263, 0.05732129629560395]",labeled,manual
,86,108,22,near,rush,21,9,0.2743213654129247,False,"[1.9079753686758956, -0.7158611760765673, -0.46128783202008133, -0.25215575395267326, 0.12936776937536656, -0.8639770977139696, -0.12001070940503936, -0.43711678583687597, -0.8222539153915975, 2.678255657293714, -0.9395214027999004, 0.13088556713582689, 0.37693539582650015, -0.5684987036298124, -0.8491965882318231, -0.25655012472255, 2.4317902856796483, -1.516916592370488, -0.40469048291431964, -0.7917755981523185, 0.2610382259771689, 1.7128158574966168, -0.22271263248658824, -1.5293008020156653, 0.01283587630697175]",labeled,manual
,137,137,0,near,long_serve,24,0,0.4019301966683321,True,"[2.789047413048454, -2.229516123357451, -1.1208668706400764, -0.2728947132651122, 0.8397544032483524, -0.4307985536694749, -0.9774405714274392, -0.7387217124230271, -0.44031438501897796, 0.32809362802735675, 0.4612299793126027, -1.8724690418767769, -0.21736164815266779, -0.14082369485600865, -1.3438562504785272, 0.20385170833485355, 0.7890008622139196, -0.5889890983214157, 0.10075964659465253, -1.137745275123754, 1.1578050077841147, 0.7312186723617291, 0.5153148805406029, -1.2526594331496985, -0.15874926630548553]",labeled,manual
,182,209,27,far,clear,5,21,0.18490010460581638,False,"[1.6532050897452315, -1.6508944974571826, -0.7211830971224678, 0.019131389277764976, -0.29942075847096983, 0.3240784175753371, 0.21600952184190889, -1.220742686582268, -2.125634643159542, 0.6518319645904671, 0.05341780117768449, -1.0266071301030952, 0.1782370539800341, -0.886024924905142, 0.433555776642063, 0.4129149402798914, -0.2896550959617395, -0.7995473935713546, -0.7662775304912239, -0.017035736663976175, 0.8353139580175741, 1.9400952821639752, 0.8032328670527871, 0.773640222287771, 0.9683095079273789]",labeled,manual
,228,239,11,near,drop,19,0,0.2503653957720014,True,"[2.092211418327995, 1.0590119017928479, -0.78171477293805, -0.7371424764220031, -0.027594088897185926, -0.20166256352665263, -0.8548298832179055, -1.0349966128594286, 0.28712287274774567, -0.6793081959701408, 1.1073144369484822, -1.418832395606025, -0.6190067199571913, 0.566692736952463, -2.2317048661248897, -0.35473018034083614, -0.17670629086797424, -0.39846356655261683, -0.488993206322065, -0.5626992126542716, 1.101902288286434, 0.5689064031509137, -0.14143728859162974, -0.2728624871009619, -0.5877472299724014]",labeled,manual
,257,239,18,far,cross_court,10,0,0.2503653957720014,True,"[2.092211418327995, 1.0590119017928479, -0.78171477293805, -0.7371424764220031, -0.027594088897185926, -0.20166256352665263, -0.8548298832179055, -1.0349966128594286, 0.28712287274774567, -0.6793081959701408, 1.1073144369484822, -1.418832395606025, -0.6190067199571913, 0.566692736952463, -2.2317048661248897, -0.35473018034083614, -0.17670629086797424, -0.39846356655261683, -0.488993206322065, -0.5626992126542716, 1.101902288286434, 0.5689064031509137, -0.14143728859162974, -0.2728624871009619, -0.5877472299724014]",labeled,manual
,276,292,16,near,net_shot,13,16,0.6388909488180151,False,"[1.17526834505529, -0.8634589658409716, 0.49616953158541793, -0.8193912833754333, 0.6903687125592655, -0.8499814502835497, -0.4877688642741189, -1.2277246554619676, -1.2932415929657552, -1.2345783313728202, -0.5389599508879741, 0.007319356865898907, -0.48229765571196725, -1.4633987871716825, -0.8983807913797113, -0.06774168356044064, 3.780004911991904, -0.4264448478331344, -0.08031819134937823, -0.3369468589860587, 1.7197907389089926, -0.5479325288864398, 0.18387720339559865, -0.23831617143094846, -0.0994548935084732]",labeled,manual
,371,354,17,far,long_serve,12,13,0.5404812396744403,False,"[-1.2369265030053178, 0.16001966136392343, -1.9443409202082527, -0.3143446773115905, 1.0840834385304874, -0.21736552640201884, -0.8489125725031839, -0.6109518249756699, -0.933904620729122, 1.0339537659668099, 0.5157846503617207, -1.034119580321296, 1.1744054885999375, 3.73248365244166, -3.486808931066296, 0.2821963216485285, 1.0929776960342628, -0.3219322755446212, 0.15813850492251813, -1.1444114585954337, 0.38234473475669467, 1.4791627889541363, 1.8786357676293786, -1.5550231864684851, -0.2012756008296402]",labeled,manual
